,Angle,Speed,Start Time,Stop Time,Time
0,99,90,0,,1571700608.555009
1,98,90,0,,1571700608.565419
2,97,90,0,,1571700608.573351
3,96,90,0,,1571700608.59875
4,95,90,0,,1571700608.651173
5,94,90,0,,1571700608.670752
6,93,90,0,,1571700608.884333
7,92,90,0,,1571700608.897305
8,91,90,0,,1571700608.908004
9,90,90,0,,1571700608.919838
10,89,90,0,,1571700608.935299
11,88,90,0,,1571700608.984067
12,87,90,0,,1571700609.042957
13,86,90,0,,1571700609.356509
14,85,90,0,,1571700609.377381
15,84,90,0,,1571700609.411356
16,83,90,0,,1571700609.430726
17,82,90,0,,1571700609.4476
18,81,90,0,,1571700609.463164
19,80,90,0,,1571700609.493041
20,79,90,0,,1571700609.527376
21,78,90,0,,1571700609.552147
22,77,90,0,,1571700609.622144
23,76,90,0,,1571700609.644336
24,75,90,0,,1571700609.693814
25,74,90,0,,1571700609.886457
26,72,90,0,,1571700609.892323
27,73,90,0,,1571700609.898016
28,71,90,0,,1571700609.904398
29,70,90,0,,1571700609.917779
30,69,90,0,,1571700609.926402
31,68,90,0,,1571700610.047246
32,67,90,0,,1571700610.094334
33,66,90,0,,1571700610.126244
34,65,90,0,,1571700610.160266
35,64,90,0,,1571700610.195795
36,63,90,0,,1571700610.23477
37,62,90,0,,1571700610.245007
38,61,90,0,,1571700610.278786
39,60,90,0,,1571700610.295335
40,59,90,0,,1571700610.326699
41,58,90,0,,1571700610.344905
42,56,90,0,,1571700610.372426
43,55,90,0,,1571700610.395362
44,54,90,0,,1571700610.422031
45,53,90,0,,1571700610.462381
46,52,90,0,,1571700610.480578
47,51,90,0,,1571700610.623951
48,50,90,0,,1571700610.638448
49,51,90,0,,1571700610.896615
50,53,90,0,,1571700610.90927
51,52,90,0,,1571700610.917572
52,54,90,0,,1571700610.96024
53,58,90,0,,1571700610.975175
54,61,90,0,,1571700610.984443
55,64,90,0,,1571700610.998599
56,70,90,0,,1571700611.027007
57,75,90,0,,1571700611.03373
58,76,90,0,,1571700611.037938
59,80,90,0,,1571700611.062042
60,84,90,0,,1571700611.087998
61,86,90,0,,1571700611.097998
62,88,90,0,,1571700611.120984
63,89,90,0,,1571700611.183964
64,90,90,0,,1571700611.196926
65,94,90,0,,1571700611.221552
66,95,90,0,,1571700611.254905
67,96,90,0,,1571700611.275527
68,97,90,0,,1571700611.295815
69,99,90,0,,1571700611.32294
70,101,90,0,,1571700611.357943
71,102,90,0,,1571700611.386495
72,103,90,0,,1571700611.394607
73,105,90,0,,1571700611.408827
74,108,90,0,,1571700611.415858
75,113,90,0,,1571700611.434698
76,115,90,0,,1571700611.461544
77,119,90,0,,1571700611.499865
78,121,90,0,,1571700611.505615
79,123,90,0,,1571700611.606301
80,127,90,0,,1571700611.611549
81,131,90,0,,1571700611.737747
82,135,90,0,,1571700611.745892
83,137,90,0,,1571700611.867819
84,139,90,0,,1571700611.889805
85,141,90,0,,1571700611.999053
86,148,90,0,,1571700612.003154
87,144,90,0,,1571700612.009374
88,150,90,0,,1571700612.013137
89,149,90,0,,1571700612.128846
90,148,90,0,,1571700612.161153
91,147,90,0,,1571700612.263643
92,145,90,0,,1571700612.267939
93,146,90,0,,1571700612.274126
94,144,90,0,,1571700612.27811
95,143,90,0,,1571700612.406093
96,142,90,0,,1571700612.412806
97,141,90,0,,1571700612.418086
98,139,90,0,,1571700612.423041
99,138,90,0,,1571700612.428643
100,137,90,0,,1571700612.436985
101,136,90,0,,1571700612.568673
102,135,90,0,,1571700612.576991
103,134,90,0,,1571700612.580873
104,132,90,0,,1571700612.785023
105,133,90,0,,1571700612.797142
106,131,90,0,,1571700612.808389
107,130,90,0,,1571700612.959103
108,129,90,0,,1571700613.088169
109,128,90,0,,1571700613.100386
110,127,90,0,,1571700613.115117
111,126,90,0,,1571700613.269741
112,125,90,0,,1571700613.275052
113,124,90,0,,1571700613.279317
114,121,90,0,,1571700613.434304
115,120,90,0,,1571700613.440632
116,119,90,0,,1571700613.445589
117,118,90,0,,1571700613.450747
118,115,90,0,,1571700613.606654
119,114,90,0,,1571700613.612199
120,113,90,0,,1571700613.618937
121,112,90,0,,1571700613.624315
122,117,90,0,,1571700613.777761
123,111,90,0,,1571700613.783729
124,109,90,0,,1571700613.789895
125,108,90,0,,1571700613.795706
126,107,90,0,,1571700613.800919
127,106,90,0,,1571700613.964813
128,105,90,0,,1571700613.976346
129,103,90,0,,1571700614.131627
130,102,90,0,,1571700614.139785
131,101,90,0,,1571700614.153371
132,99,90,0,,1571700614.166159
133,100,90,0,,1571700614.17763
134,98,90,0,,1571700614.31178
135,95,90,0,,1571700614.473076
136,94,90,0,,1571700614.483197
137,97,90,0,,1571700614.643951
138,93,90,0,,1571700614.65229
139,96,90,0,,1571700614.672314
140,92,90,0,,1571700614.686852
141,91,90,0,,1571700614.700955
142,90,90,0,,1571700614.831249
143,89,90,0,,1571700614.843236
144,88,90,0,,1571700614.856549
145,87,90,0,,1571700614.869437
146,86,90,0,,1571700614.877845
147,83,90,0,,1571700614.99851
148,79,90,0,,1571700615.011413
149,78,90,0,,1571700615.023678
150,76,90,0,,1571700615.037301
151,73,90,0,,1571700615.183736
152,72,90,0,,1571700615.191526
153,71,90,0,,1571700615.304319
154,70,90,0,,1571700615.31213
155,68,90,0,,1571700615.340806
156,66,90,0,,1571700615.445886
157,64,90,0,,1571700615.543994
158,63,90,0,,1571700615.55573
159,65,90,0,,1571700615.568036
160,67,90,0,,1571700615.645312
161,64,90,0,,1571700615.683976
162,65,90,0,,1571700615.758613
163,66,90,0,,1571700615.793561
164,67,90,0,,1571700615.826016
165,68,90,0,,1571700615.876651
166,68,92,0,,1571700618.031317
167,68,94,0,,1571700618.70641
168,68,96,0,,1571700619.306534
169,68,98,0,,1571700619.896657
