,Time,Speed,Angle,Start Time,Stop Time
0,1571792864.2681298,90,101,0,
1,1571792864.2880461,90,100,0,
2,1571792864.3200614,90,99,0,
3,1571792864.3361416,90,98,0,
4,1571792864.3536093,90,97,0,
5,1571792864.4166658,90,96,0,
6,1571792864.4352937,90,95,0,
7,1571792864.450915,90,94,0,
8,1571792864.4680994,90,92,0,
9,1571792864.4998498,90,91,0,
10,1571792864.516968,90,90,0,
11,1571792864.534891,90,89,0,
12,1571792864.5510402,90,88,0,
13,1571792864.569895,90,87,0,
14,1571792864.5870373,90,86,0,
15,1571792864.6178746,90,85,0,
16,1571792864.634278,90,84,0,
17,1571792864.7178886,90,83,0,
18,1571792864.886293,90,82,0,
19,1571792864.9774492,90,81,0,
20,1571792865.0028582,90,80,0,
21,1571792865.0690112,90,79,0,
22,1571792865.236154,90,78,0,
23,1571792865.268893,90,77,0,
24,1571792865.285534,90,76,0,
25,1571792865.3349125,90,75,0,
26,1571792865.3874474,90,74,0,
27,1571792865.631934,90,73,0,
28,1571792865.6722734,90,72,0,
29,1571792865.6997654,90,71,0,
30,1571792865.72133,90,70,0,
31,1571792865.7685618,90,69,0,
32,1571792865.8347065,90,68,0,
33,1571792866.1037695,90,69,0,
34,1571792866.1353998,90,70,0,
35,1571792866.1538863,90,71,0,
36,1571792866.1711478,90,73,0,
37,1571792866.2036688,90,74,0,
38,1571792866.2213922,90,76,0,
39,1571792866.2370932,90,78,0,
40,1571792866.2541325,90,80,0,
41,1571792866.2689145,90,81,0,
42,1571792866.285978,90,83,0,
43,1571792866.316257,90,84,0,
44,1571792866.3218484,90,85,0,
45,1571792866.3340802,90,86,0,
46,1571792866.367297,90,87,0,
47,1571792866.382914,90,88,0,
48,1571792866.4070442,90,89,0,
49,1571792866.4198735,90,90,0,
50,1571792866.4370134,90,91,0,
51,1571792866.4504158,90,93,0,
52,1571792866.4673698,90,94,0,
53,1571792866.4849286,90,95,0,
54,1571792866.500688,90,96,0,
55,1571792866.5226173,90,97,0,
56,1571792866.5508487,90,98,0,
57,1571792866.5669553,90,99,0,
58,1571792866.5844808,90,100,0,
59,1571792866.6019433,90,102,0,
60,1571792866.6187859,90,103,0,
61,1571792866.650868,90,104,0,
62,1571792866.6859083,90,105,0,
