,Angle,Speed,Start Time,Stop Time,Time
0,106,90,1568241263.20427,1568241278.15743,1568241234.154087
1,109,90,1568241263.20427,1568241278.15743,1568241234.333187
2,111,90,1568241263.20427,1568241278.15743,1568241234.337386
3,113,90,1568241263.20427,1568241278.15743,1568241234.345237
4,115,90,1568241263.20427,1568241278.15743,1568241234.35189
5,118,90,1568241263.20427,1568241278.15743,1568241234.358682
6,120,90,1568241263.20427,1568241278.15743,1568241234.364985
7,123,90,1568241263.20427,1568241278.15743,1568241234.408593
8,125,90,1568241263.20427,1568241278.15743,1568241234.468607
9,126,90,1568241263.20427,1568241278.15743,1568241234.475285
10,127,90,1568241263.20427,1568241278.15743,1568241234.481033
11,128,90,1568241263.20427,1568241278.15743,1568241234.486946
12,130,90,1568241263.20427,1568241278.15743,1568241234.493588
13,131,90,1568241263.20427,1568241278.15743,1568241234.512335
14,132,90,1568241263.20427,1568241278.15743,1568241234.61383
15,134,90,1568241263.20427,1568241278.15743,1568241234.619781
16,133,90,1568241263.20427,1568241278.15743,1568241234.625225
17,135,90,1568241263.20427,1568241278.15743,1568241234.630699
18,134,90,1568241263.20427,1568241278.15743,1568241234.810606
19,133,90,1568241263.20427,1568241278.15743,1568241234.871118
20,132,90,1568241263.20427,1568241278.15743,1568241234.92597
21,131,90,1568241263.20427,1568241278.15743,1568241234.931938
22,130,90,1568241263.20427,1568241278.15743,1568241234.945743
23,129,90,1568241263.20427,1568241278.15743,1568241234.972699
24,128,90,1568241263.20427,1568241278.15743,1568241235.060228
25,127,90,1568241263.20427,1568241278.15743,1568241235.350369
26,126,90,1568241263.20427,1568241278.15743,1568241235.527936
27,125,90,1568241263.20427,1568241278.15743,1568241235.663206
28,124,90,1568241263.20427,1568241278.15743,1568241235.745154
29,123,90,1568241263.20427,1568241278.15743,1568241235.80823
30,122,90,1568241263.20427,1568241278.15743,1568241235.876438
31,121,90,1568241263.20427,1568241278.15743,1568241235.882128
32,120,90,1568241263.20427,1568241278.15743,1568241235.969733
33,118,90,1568241263.20427,1568241278.15743,1568241235.977257
34,117,90,1568241263.20427,1568241278.15743,1568241235.983521
35,119,90,1568241263.20427,1568241278.15743,1568241235.987407
36,116,90,1568241263.20427,1568241278.15743,1568241235.995374
37,115,90,1568241263.20427,1568241278.15743,1568241236.001098
38,114,90,1568241263.20427,1568241278.15743,1568241236.008894
39,113,90,1568241263.20427,1568241278.15743,1568241236.060495
40,111,90,1568241263.20427,1568241278.15743,1568241236.067362
41,112,90,1568241263.20427,1568241278.15743,1568241236.071339
42,109,90,1568241263.20427,1568241278.15743,1568241236.077886
43,108,90,1568241263.20427,1568241278.15743,1568241236.098685
44,107,90,1568241263.20427,1568241278.15743,1568241236.114762
